bank_transaction_id,bank_operation_date,bank_amount,bank_ref,bank_payment_class,bank_label,customer_transaction_id,customer_accounting_date,customer_amount,customer_document_number,customer_external_doc_number,customer_payment_type,customer_description,score
76421,2025-06-10,90706.947,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:3,10064,2025-06-10,23259.546,BEB24000293,10396670975,CLT EFFET,Validation Effet escompté en Banque,25.0
76422,2025-06-10,95242.61,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:2,10064,2025-06-10,23259.546,BEB24000293,10396670975,CLT EFFET,Validation Effet escompté en Banque,25.0
76429,2025-06-11,-64077.344,10155433139,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 100625 LCN 10155433139,9496,2025-03-04,64077.344,BEB24000156,10155433139,CLT EFFET,Validation Effet escompté en Banque,75.0
76432,2025-06-11,-12205.88,10109490835,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 100625 LCN 10109490835,10092,2025-06-12,72769.272,BEB24000271,10816990502,CLT EFFET,Validation Effet escompté en Banque,34.25
76433,2025-06-12,126417.118,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:4,10078,2025-06-12,8318.558,BEB24000270,10396664670,CLT EFFET,Validation Effet escompté en Banque,25.0
76451,2025-06-17,-9956.272,10155450211,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 150625 LCN 10155450211,9416,2025-02-24,9956.272,BEB24000131,10155450405,CLT EFFET,Validation Effet escompté en Banque,75.0
76454,2025-06-17,-4206.906,9866431727,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 150625 LCN 9866431727,10084,2025-06-12,15877.416,BEB24000270,10396672715,CLT EFFET,Validation Effet escompté en Banque,28.75
76471,2025-06-23,34493.718,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:2,10070,2025-06-10,34493.718,BEB24000297,10601127187,CLT EFFET,Validation Effet escompté en Banque,60.0
76486,2025-06-24,-47043.38,10203887258,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 220625 LCN 10203887258,9139,2025-01-13,47043.38,BEB24000096,10203881244,CLT EFFET,Validation Effet escompté en Banque,75.0
76523,2025-06-27,-47369.208,10155448659,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 250625 LCN 10155448659,10132,2025-06-27,11937.8,BEB24000296,10816986525,CLT EFFET,Validation Effet escompté en Banque,34.375
76532,2025-06-30,60816.411,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:4,10146,2025-06-30,10909.574,BEB24000294,10815201725,CLT EFFET,Validation Effet escompté en Banque,25.0
76533,2025-06-30,273631.428,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:3,10146,2025-06-30,10909.574,BEB24000294,10815201725,CLT EFFET,Validation Effet escompté en Banque,25.0
74946,2025-01-02,-47624.268,10205072792,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 311224 LCN 10205072792,9119,2025-01-06,12781.486,BEB24000085,10242095073,CLT EFFET,Validation Effet escompté en Banque,30.416666666666668
74962,2025-01-03,-13733.453,10109469980,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 020125 LCN 10109469980,9113,2025-01-06,12647.864,BEB24000085,10109499662,CLT EFFET,Validation Effet escompté en Banque,33.88157894736842
75019,2025-01-15,43248.105,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:1,9157,2025-01-15,19585.061,BEB24000129,10155408889,CLT EFFET,Validation Effet escompté en Banque,25.0
75059,2025-01-20,189083.936,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:2,9204,2025-01-20,4380.0,BEB24000127,10155334393,CLT EFFET,Validation Effet escompté en Banque,25.0
